,place_name,price_aprox_usd,surface_covered_in_m2,price_usd_per_m2,rooms_compuesta,amenitie_balcon,amenitie_cochera,amenitie_parrilla,amenitie_pileta,amenitie_amoblado,estrenar,lat,lon
1321,Palermo,102072.29,35.0,2916.351142857143,1.0,0,0,0,0,0,1,-34.573237498800005,-58.43896695340001
1323,Palermo,96250.8,37.0,2601.372972972973,1.0,0,0,0,0,0,1,-34.5733788449,-58.4390098688
1358,Belgrano,118526.0,42.0,2822.0476190476197,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1359,Belgrano,119144.0,42.0,2836.7619047619046,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1360,Belgrano,119761.0,42.0,2851.4523809523807,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1361,Belgrano,120378.0,42.0,2866.1428571428573,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1362,Belgrano,127710.0,40.0,3192.75,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1363,Belgrano,128393.0,40.0,3209.825,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1364,Belgrano,129076.0,40.0,3226.9,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1365,Belgrano,132437.0,40.0,3310.925,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1366,Belgrano,133130.0,40.0,3328.25,1.0,0,0,0,1,0,0,-34.562708,-58.465375
1469,Caballito,70900.0,30.0,2215.625,1.0,0,1,0,0,0,0,-34.613614,-58.4626458
1526,Caballito,109000.0,53.0,2056.603773584906,1.0,0,0,0,0,0,0,-34.60877228,-58.43046188
1589,Caballito,85000.0,40.0,2125.0,1.0,0,0,0,0,0,0,-34.61087036,-58.45410919
1628,Palermo,439000.0,135.0,3251.851851851852,3.0,0,1,0,0,0,0,-34.58350372,-58.41336441
1629,Palermo,439000.0,135.0,3251.851851851852,3.0,0,1,0,0,0,0,-34.58350372,-58.41336441
1694,Belgrano,190000.0,89.0,2134.8314606741574,2.0,1,0,0,0,0,0,-34.5711441,-58.44802856
1732,Belgrano,550000.0,140.0,3928.571428571429,3.0,1,0,0,0,0,0,-34.56225204,-58.44231796
1734,Belgrano,124900.0,42.0,2973.809523809524,1.0,0,0,0,0,0,0,-34.5620842,-58.45668793
1863,Caballito,85733.0,39.0,2198.2820512820517,1.0,0,0,0,0,0,0,-34.61597443,-58.42552567
1883,Palermo,245000.0,75.0,3266.6666666666665,2.0,1,0,0,0,0,0,-34.58342361,-58.42360687
1890,Palermo,155000.0,72.0,2152.777777777778,2.0,0,0,0,0,0,0,-34.584640500000006,-58.44459915
2093,Belgrano,145000.0,40.0,3625.0,3.0,1,1,0,0,0,0,-34.56502151,-58.45690918
2183,Belgrano,72000.0,26.0,2769.230769230769,1.0,0,0,0,0,0,0,-34.54615402,-58.46242142
2193,Caballito,70000.0,36.0,1944.4444444444443,3.0,1,0,1,1,0,0,-34.61987305,-58.46278763
2211,Palermo,1100000.0,400.0,2750.0,3.0,1,1,1,1,0,0,-34.57500839,-58.42057037
2305,Belgrano,279000.0,45.0,6200.0,3.0,0,0,0,0,0,0,-34.56622314,-58.43225098
2309,Palermo,350000.0,74.0,4729.72972972973,2.0,0,1,0,0,0,0,-34.58178711,-58.41435242
2310,Palermo,350000.0,74.0,4729.72972972973,3.0,0,1,0,0,0,0,-34.58178711,-58.41435242
2368,Belgrano,430000.0,150.0,2866.6666666666665,3.0,1,1,0,0,0,0,-34.55979156,-58.45554733
2642,Palermo,135000.0,70.0,1928.571428571429,2.0,0,0,0,0,0,0,-34.58887482,-58.42610931
2748,Palermo,240000.0,64.0,3750.0,1.0,1,1,1,1,0,0,-34.58464813,-58.42425537
3271,Palermo,98000.0,43.0,2279.0697674418607,1.0,1,0,0,0,0,0,-34.59279633,-58.43243408
3288,Palermo,155000.0,40.0,3875.0,1.0,1,0,1,0,0,0,-34.58863068,-58.40306091
3431,Palermo,685000.0,140.0,4892.857142857143,3.0,0,1,0,0,0,0,-34.58077621,-58.41369247
3502,Belgrano,269500.0,93.0,2897.8494623655915,2.0,1,1,0,0,0,0,-34.56840897,-58.45326233
3522,Caballito,70800.0,28.0,2528.5714285714284,1.0,1,0,0,0,0,1,-34.61829758,-58.44896698
3571,Caballito,96000.0,40.0,2400.0,1.0,0,0,0,0,0,0,-34.61975479,-58.43701553
3657,Palermo,830000.0,230.0,3608.695652173913,3.0,1,0,0,0,0,0,-34.56623077,-58.43224716
3658,Palermo,729000.0,200.0,3645.0,3.0,1,1,0,0,0,0,-34.56679535,-58.43128586
3694,Palermo,729000.0,200.0,3645.0,3.0,1,1,0,0,0,0,-34.56679535,-58.43128586
3703,Belgrano,830000.0,230.0,3608.695652173913,3.0,1,0,0,0,0,0,-34.56594849,-58.43284607
